,Attribute,Importance
37,zipcode_98039,1136975.8684484682
20,zipcode_98004,697524.9866053191
56,zipcode_98112,529265.0047364526
9,waterfront_1,486219.6445875706
38,zipcode_98040,455598.6695427701
52,zipcode_98105,408474.50288978184
13,view_4,378245.62133360095
50,zipcode_98102,361868.9045433281
61,zipcode_98119,356908.1239512094
55,zipcode_98109,344933.25423999137
34,zipcode_98033,312563.5145116386
71,zipcode_98199,293389.8587869929
58,zipcode_98116,273882.54963444005
57,zipcode_98115,271306.95284126676
21,zipcode_98005,269887.0749217488
59,zipcode_98117,255247.92224053605
22,zipcode_98006,245718.26475326685
51,zipcode_98103,242729.03838517022
54,zipcode_98107,241410.1909018692
62,zipcode_98122,240347.36845339337
33,zipcode_98029,221625.29356398992
48,zipcode_98075,211540.1702139036
66,zipcode_98136,207966.58226142536
67,zipcode_98144,205361.8451737029
12,view_3,203843.0999758208
24,zipcode_98008,201392.09725893088
42,zipcode_98053,195903.6877990936
41,zipcode_98052,195149.660719087
23,zipcode_98007,189796.97707012948
47,zipcode_98074,184721.1258581331
17,condition_5,173817.043649641
64,zipcode_98126,169678.33850753366
30,zipcode_98024,168618.02664962408
31,zipcode_98027,164290.1935313601
40,zipcode_98045,159307.0996990192
35,zipcode_98034,156541.15882279698
49,zipcode_98077,152389.38880363578
0,sqft_living_transformed,139238.59553589564
69,zipcode_98177,136752.74295605006
46,zipcode_98072,134344.9287155057
45,zipcode_98065,128645.42705366475
16,condition_4,125914.2116011217
25,zipcode_98010,125433.37511429933
15,condition_3,110888.69736689655
10,view_1,107484.73141766022
63,zipcode_98125,103976.95452931488
14,condition_2,101931.71836144714
60,zipcode_98118,100831.97336869933
11,view_2,92484.52551139324
53,zipcode_98106,88372.47605824255
65,zipcode_98133,87218.93301421891
26,zipcode_98011,84522.01462831111
27,zipcode_98014,82812.02567426837
29,zipcode_98022,77158.38463055209
6,distanceM_transformed,76556.73010124644
68,zipcode_98155,74997.64771411484
19,zipcode_98002,66020.07924477609
28,zipcode_98019,64658.71620015302
8,basement_True,59408.60650217814
43,zipcode_98056,57573.25907398295
36,zipcode_98038,55059.88252953217
44,zipcode_98059,50077.91387509321
1,sqft_lot_transformed,45002.074575496714
32,zipcode_98028,44820.026889779605
7,renovated_True,44771.93296561146
70,zipcode_98198,33853.85318522324
5,bathrooms_transformed,28053.434887177445
3,sqft_living15_transformed,24382.460422130014
39,zipcode_98042,23246.427431910994
4,bedrooms_transformed,22650.883954457087
18,grade_below_avg,15832.327938085116
2,yr_built_transformed,9163.206332214468
